Team_ID,Squad,MP,Gls90,Ast90,G+A90,G-PK90,G+A-PK90,SCA90,GCA90,Sh90,SoT90,SoT%,G/Sh,G/SoT,GA90,Save%,SoTA90
db3b9613,es Atlético Madrid,38,1.79,1.34,3.13,1.76,3.11,25.21,3.05,14.16,5.13,36.2,0.12,0.34,0.87,77.3,3.37
206d90db,es Barcelona,38,1.82,1.47,3.29,1.82,3.29,27.61,3.29,15.0,4.92,32.8,0.12,0.37,0.53,83.3,2.68
53a2f082,es Real Madrid,38,1.92,1.47,3.39,1.68,3.16,31.42,3.53,16.68,5.42,32.5,0.1,0.31,0.95,76.5,3.58
e31d1cd9,es Real Sociedad,38,1.24,0.95,2.18,1.18,2.13,21.05,2.16,12.24,4.55,37.2,0.1,0.26,0.92,74.4,3.50
18bb7c10,eng Arsenal,38,2.21,1.68,3.89,2.13,3.82,27.5,3.95,15.5,5.11,32.9,0.14,0.42,1.13,70.6,3.58
b8fd03ef,eng Manchester City,38,2.42,1.82,4.24,2.18,4.0,28.92,4.42,15.53,5.39,34.7,0.14,0.4,0.87,67.4,2.42
e2d8892c,fr Paris S-G,38,2.26,1.63,3.89,2.13,3.76,26.95,3.97,14.79,6.37,43.1,0.14,0.33,1.05,76.3,4.21
7213da33,it Lazio,38,1.55,0.97,2.53,1.39,2.37,20.0,2.71,11.32,4.24,37.4,0.12,0.33,0.79,77.3,3.37
d609edc0,it Inter,38,1.79,1.32,3.11,1.68,3.00,29.05,3.11,16.45,5.18,31.5,0.10,0.32,1.11,71.5,3.61
d48ad4ff,it Napoli,38,1.97,1.5,3.47,1.76,3.26,29.08,3.45,15.92,5.58,35.0,0.11,0.32,0.74,74.8,2.82
054efa67,de Bayern Munich,34,2.65,1.97,4.62,2.56,4.53,32.18,4.5,18.38,7.38,40.2,0.14,0.35,1.12,72.9,3.15
add600ae,de Dortmund,34,2.38,1.79,4.18,2.26,4.06,29.82,4.24,16.41,6.44,39.2,0.14,0.35,1.29,71.5,4.44
acbb6a5b,de RB Leipzig,34,1.88,1.15,3.03,1.71,2.85,25.71,3.18,14.62,5.35,36.6,0.12,0.32,1.21,67.9,3.12
18050b20,dk FC Copenhagen,32,1.84,1.06,2.91,1.69,2.75,20.0,2.1,14.78,5.84,39.5,0.11,0.29,1.09,71.7,3.53
e334d850,nl PSV Eindhoven,34,2.56,1.85,4.41,2.38,4.24,32.09,4.32,18.0,6.91,38.4,0.13,0.34,1.18,68.6,3.56
5e876ee6,pt Porto,34,2.09,1.44,3.53,1.79,3.24,26.71,3.62,14.97,5.29,35.4,0.12,0.34,0.65,77.2,2.32

