Team_ID,Squad,MP,Gls90,Ast90,G+A90,G-PK90,G+A-PK90,SCA90,GCA90,Sh90,SoT90,SoT%,G/Sh,G/SoT,GA90,Save%,SoTA
db3b9613,es Atlético Madrid,29,1.83,1.31,3.14,1.69,3.0,22.52,3.31,12.45,5.45,43.8,0.14,0.31,1.17,71.6,116.0
206d90db,es Barcelona,29,1.97,1.45,3.41,1.83,3.28,28.1,3.59,15.55,5.79,37.3,0.12,0.32,1.17,67.6,105.0
53a2f082,es Real Madrid,29,2.14,1.62,3.76,2.1,3.72,29.59,3.76,16.24,6.31,38.9,0.13,0.33,0.69,76.5,81.0
e31d1cd9,es Real Sociedad,29,1.38,1.0,2.38,1.24,2.24,21.17,2.21,12.55,4.07,32.4,0.1,0.31,1.07,74.3,105.0
18bb7c10,eng Arsenal,28,2.39,1.68,4.07,2.11,3.79,30.75,4.18,16.79,5.46,32.6,0.13,0.39,0.86,64.6,65.0
b8fd03ef,eng Manchester City,28,2.21,1.68,3.89,2.07,3.75,32.89,3.93,17.82,6.68,37.5,0.12,0.31,1.0,70.2,84.0
e2d8892c,fr Paris S-G,26,2.31,1.65,3.96,2.04,3.69,27.73,4.27,14.65,5.62,38.3,0.14,0.36,0.89,81.3,107.0
7213da33,it Lazio,29,1.14,0.76,1.9,1.0,1.76,19.62,1.9,11.24,3.41,30.4,0.09,0.29,1.14,72.8,114.0
dc56fe14,it Inter,29,2.38,1.72,4.10,2.03,3.76,27.17,4.17,15.03,5.10,33.9,0.14,0.40,0.48,84.0,75
d48ad4ff,it Napoli,29,1.48,1.0,2.48,1.31,2.31,29.72,2.38,16.52,5.14,31.1,0.08,0.26,1.14,67.3,98.0
054efa67,de Bayern Munich,26,2.96,2.27,5.23,2.85,5.12,36.42,5.27,20.04,7.31,36.5,0.14,0.39,1.19,66.3,83.0
add600ae,de Dortmund,26,2.04,1.5,3.54,1.85,3.35,27.38,3.54,15.27,5.42,35.5,0.12,0.34,1.23,77.3,119.0
acbb6a5b,de RB Leipzig,26,2.19,1.58,3.77,2.08,3.65,28.31,3.62,16.0,6.5,40.6,0.13,0.32,1.23,65.9,85.0
18050b20,dk FC Copenhagen,22,1.33,1.0,2.33,1.24,2.24,13.33,1.4,10.82,4.21,25.93,0.07,0.19,0.7,46.73,2.33
e334d850,nl PSV Eindhoven,26,2.03,1.67,3.69,1.87,3.54,28.51,3.67,15.57,5.92,25.4,0.08,0.21,0.33,54.0,1.49
5e876ee6,pt Porto,26,1.28,0.92,2.21,1.18,2.1,20.05,2.25,11.0,3.61,21.93,0.07,0.22,0.46,51.6,1.59
